arm,lambda,neg,own_win_pct,retention,leak_b,leak_c,verdict
0,0,none,29.83,1.000,0.468,0.447,anchor
1,0.5,self,25.72,0.862,0.293,0.287,FAIL
2,0.5,author,28.96,0.971,0.207,0.206,FAIL
3,0.5,both,27.27,0.914,0.212,0.247,FAIL
4,1,self,26.59,0.891,0.379,0.352,FAIL
5,1,author,28.14,0.943,-0.079,-0.029,PASS
6,1,both,25.30,0.848,0.112,0.119,FAIL
7,2,self,25.57,0.857,0.342,0.344,FAIL
8,2,author,28.21,0.946,-0.469,-0.422,PASS
9,2,both,24.12,0.808,0.031,0.072,PASS
10,4,self,16.08,0.539,0.701,0.604,FAIL
11,4,author,27.41,0.919,-0.441,-0.314,PASS
12,4,both,20.79,0.697,-0.029,0.032,FAIL
